"","YEAR","SERIAL","PERNUM","STATEFIP","SEX","AGE","RELATE","MOMLOC","POPLOC","NCHILD","MARST","married_dummy","RACE","HISPAN","EDUC","hs_binary","HHINCOME","inc_3cat","NUMPREC","FAMSIZE","GQ","PERWT"
"1",2010,144429,1,6,2,64,1,0,3,1,4,0,1,1,6,"High School or More",16900,"< $20,000",3,3,1,64
"2",2010,144429,2,6,1,28,3,1,0,0,6,0,1,1,6,"High School or More",16900,"< $20,000",3,3,1,98
"3",2010,144429,3,6,1,80,5,0,0,1,5,0,1,1,6,"High School or More",16900,"< $20,000",3,3,1,67
"4",2010,237648,1,8,1,50,1,0,0,2,1,1,1,1,6,"High School or More",98700,"$20,000+",6,6,1,162
"5",2010,237648,2,8,2,52,2,5,0,2,1,1,1,1,6,"High School or More",98700,"$20,000+",6,6,1,138
"6",2010,237648,5,8,2,93,6,0,0,1,5,0,1,1,0,"Less than High School",98700,"$20,000+",6,6,1,144
"7",2010,237648,6,8,1,77,6,0,0,0,2,1,1,1,2,"Less than High School",98700,"$20,000+",6,6,1,163
"8",2010,1240471,1,48,1,83,1,0,0,1,1,1,1,1,2,"Less than High School",15880,"< $20,000",3,3,1,51
"9",2010,1240471,2,48,2,63,2,0,0,1,1,1,1,1,2,"Less than High School",15880,"< $20,000",3,3,1,61
"10",2010,1240471,3,48,2,34,3,2,1,0,6,0,1,1,10,"High School or More",15880,"< $20,000",3,3,1,99
"11",2011,31953,1,4,2,54,1,4,0,1,1,1,7,1,6,"High School or More",172600,"$20,000+",6,6,1,24
"12",2011,31953,2,4,1,56,2,0,0,1,1,1,7,1,10,"High School or More",172600,"$20,000+",6,6,1,23
"13",2011,31953,3,4,1,26,3,1,2,1,1,1,7,1,6,"High School or More",172600,"$20,000+",6,6,1,29
"14",2011,31953,4,4,2,89,5,0,0,1,5,0,7,1,0,"Less than High School",172600,"$20,000+",6,6,1,50
"15",2011,31953,5,4,1,1,9,6,3,0,6,0,7,1,0,"Less than High School",172600,"$20,000+",6,6,1,27
"16",2011,31953,6,4,2,21,4,0,0,1,1,1,7,1,6,"High School or More",172600,"$20,000+",6,6,1,30
"17",2011,36462,1,4,2,83,1,0,0,1,5,0,1,1,2,"Less than High School",20630,"$20,000+",2,2,1,36
"18",2011,36462,2,4,1,42,3,1,0,0,6,0,1,1,3,"Less than High School",20630,"$20,000+",2,2,1,196
"19",2011,101783,1,6,1,81,1,0,0,1,1,1,1,1,6,"High School or More",32200,"$20,000+",3,3,1,44
"20",2011,101783,2,6,2,77,2,0,0,1,1,1,1,1,6,"High School or More",32200,"$20,000+",3,3,1,48
"21",2011,101783,3,6,2,55,3,2,1,0,6,0,1,1,7,"High School or More",32200,"$20,000+",3,3,1,66
"22",2011,149424,1,6,1,84,1,0,0,1,1,1,1,1,6,"High School or More",115500,"$20,000+",4,4,1,82
"23",2011,149424,2,6,2,84,2,0,0,1,1,1,1,1,5,"Less than High School",115500,"$20,000+",4,4,1,93
"24",2011,149424,3,6,1,61,3,2,1,1,4,0,1,1,7,"High School or More",115500,"$20,000+",4,4,1,91
"25",2011,149424,4,6,1,10,9,0,3,0,6,0,1,1,1,"Less than High School",115500,"$20,000+",4,4,1,68
"26",2011,187540,1,6,2,54,1,6,0,3,1,1,1,1,2,"Less than High School",76200,"$20,000+",6,6,1,85
"27",2011,187540,2,6,1,58,2,0,0,3,1,1,1,1,6,"High School or More",76200,"$20,000+",6,6,1,82
"28",2011,187540,3,6,1,26,3,1,2,0,6,0,1,1,10,"High School or More",76200,"$20,000+",6,6,1,89
"29",2011,187540,4,6,2,24,3,1,2,0,6,0,1,1,8,"High School or More",76200,"$20,000+",6,6,1,111
"30",2011,187540,5,6,2,16,3,1,2,0,6,0,1,1,3,"Less than High School",76200,"$20,000+",6,6,1,60
"31",2011,187540,6,6,2,82,5,0,0,1,5,0,1,1,0,"Less than High School",76200,"$20,000+",6,6,1,139
"32",2011,195510,1,6,2,82,1,0,0,1,5,0,1,1,2,"Less than High School",12580,"< $20,000",2,2,1,59
"33",2011,195510,2,6,1,49,3,1,0,0,6,0,1,1,10,"High School or More",12580,"< $20,000",2,2,1,66
"34",2011,1209382,1,48,1,85,1,0,0,1,1,1,1,1,1,"Less than High School",55380,"$20,000+",3,3,1,48
"35",2011,1209382,2,48,2,85,2,0,0,1,1,1,1,1,2,"Less than High School",55380,"$20,000+",3,3,1,70
"36",2011,1209382,3,48,1,55,3,2,1,0,4,0,1,1,6,"High School or More",55380,"$20,000+",3,3,1,120
